,Average1,Average5,TasksTotal,CpuUs,CpuSy,CpuId,MemBuff,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,species
1205,0.2257333598521432,0.3273726628717844,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.03231761407276323,-1.0487498316149078,2.143115070739053,-0.8463575159450196,0.09521867221695854,-0.1642438102769864,-0.9411377457364098,fio
1337,0.19724848671993456,0.3049692953287862,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.053149642863620776,-1.0452157806913451,2.0391807122207677,-0.8463575159450196,-0.8241681868755343,-0.1642438102769864,-0.9428432067915526,fio
346,0.2607916652456306,0.24024845576012477,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.13850502201226905,-1.0712343290724715,2.083724008728604,-0.846159668932598,-0.8749885660213504,-0.1642438102769864,-0.9420473249658193,fio
295,0.25860052115853727,0.2078880359757938,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,0.03231761407276323,-1.0726664954817287,2.108470284566291,-0.846159668932598,-0.3205844298851739,-0.1642438102769864,-0.943070601598905,fio
1166,0.2651739534198164,0.33235118899245053,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,-0.13850502201226905,-1.0496900128008408,1.9946374157129307,-0.8450050461335437,1.4835390297913007,-0.1642438102769864,-0.9445865669812541,fio
401,0.24983594481016563,0.25767329718245635,-0.5760110060571682,-0.760356374248886,-0.9810341298933545,0.02815120831459136,-1.069755797563634,2.0243329467181552,-0.8463575159450196,-0.3205844298851739,-0.1642438102769864,-0.9451550539996351,fio
471,0.3243348437713262,0.29750150614778653,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.3134940638554723,-1.067867707675171,2.0144344363830804,-0.8463575159450196,-0.3205844298851739,-0.1642438102769864,-0.9403039647761179,fio
1726,0.23449793620051487,0.3298619259321175,-0.5760110060571682,-0.7567046793692014,-1.0293312976549303,-0.1426714277704403,-1.0351159164994437,2.0243329467181552,-0.8463575159450196,3.761216022417426,-0.1642438102769864,-0.9410240483327337,fio
1093,0.21915992759086408,0.3174156106304516,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.31146679987025455,-1.0517352288601038,2.0490792225558425,-0.8463575159450196,-0.043382361817085595,-0.1642438102769864,-0.9442454747702256,fio
2357,0.21915992759086408,0.3099478214494524,-0.5760110060571682,-0.753052984489517,-0.9810341298933545,0.15314338105973668,-1.0187670672196687,2.029282201885693,-0.8380494871030959,-0.7363875319873063,-0.1642438102769864,-0.9396217803540607,fio
318,0.2783208179423739,0.2278021404584589,-0.5760110060571682,-0.7567046793692014,-1.0293312976549303,-0.1426714277704403,-1.0719632914714279,1.9550433743726316,-0.8363105973454841,-0.459185463919218,-0.1642438102769864,-0.9440180799628732,fio
896,0.24983594481016563,0.3223941367511178,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.1489769753015654,-1.0569538784017494,2.108470284566291,-0.8463575159450196,0.43248118836646593,-0.1642438102769864,-0.9423505180422892,fio
515,0.24764480072307274,0.29501224308745344,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.1426714277704403,-1.0666905493136054,2.0045359260480056,-0.8446186261874077,-0.043382361817085595,-0.1642438102769864,-0.9438285842900795,fio
1921,0.2060130630683066,0.3099478214494524,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.030275915271037,2.0243329467181552,-0.8463575159450196,-0.8749885660213504,-0.1642438102769864,-0.9450034574614001,fio
18,0.15342560497807553,-0.13811952941051206,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,0.03231761407276323,-1.0800668805425122,1.9797896502103185,-0.8463575159450196,-0.043382361817085595,-0.1642438102769864,-0.9440938782319906,fio
1528,0.19067505445865582,0.3049692953287862,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.0403319902022237,2.0490792225558425,-0.8463575159450196,-0.459185463919218,-0.1642438102769864,-0.9449655583268414,fio
435,0.23449793620051487,0.265141086363456,-0.5760110060571682,-0.760356374248886,-0.9810341298933545,0.1489769753015654,-1.0689315291266515,2.0045359260480056,-0.846159668932598,-0.18198339585112974,-0.1642438102769864,-0.9395459820849433,fio
1329,0.1819104781102838,0.30248003226845316,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.0454373028337842,2.068876243225992,-0.846159668932598,2.1442039586869113,-0.1642438102769864,-0.9390911924702385,fio
1584,0.20820420715539953,0.3074585583891193,-0.6033789857086168,-0.7567046793692014,-1.0293312976549303,0.3822956977591697,-1.0387967902383437,1.1582132923991086,-0.8463575159450196,-1.1521906340894388,-0.1642438102769864,-0.962437059358415,fio
1858,0.19724848671993456,0.3099478214494524,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.031811115234917,2.0144344363830804,-0.8463575159450196,-0.459185463919218,-0.1642438102769864,-0.9421989215040543,fio
2450,0.24983594481016563,0.33235118899245053,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.19266829686849857,-1.0163586578803603,2.0738254983935294,-0.8442322062412717,-0.043382361817085595,-0.1642438102769864,-0.940569258718029,fio
1783,0.2060130630683066,0.3199048736907847,-0.5760110060571682,-0.7567046793692014,-1.0293312976549303,-0.13850502201226905,-1.0337146601565734,2.068876243225992,-0.8451982561066117,0.007438017328730588,-0.1642438102769864,-0.9430327024643462,fio
2449,0.2564093770714444,0.3348404520527836,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,0.03231761407276323,-1.0163586578803603,2.0391807122207677,-0.8459618219201764,0.37242074028504685,-0.1642438102769864,-0.9420852241003781,fio
